ACTR3,up,DERL1,up,GRB2,up,LRRFIP1,up,PIM1,up,SCAND1,up,UNC93B1,up,CRISPLD1,down,GLT8D1,down,MGAM,down,R3HDML,down,TPST1,down
ALPP,up,DGKQ,up,GRINA,up,LSM14A,up,PIN1,up,SCARB2,up,UQCRQ,up,CRYM,down,GLTPD2,down,MGAT3,down,RAB23,down,TPST2,down
ARL16,up,DHRS7,up,GRPEL1,up,LSP1,up,PIP4K2A,up,SLC38A1,up,URM1,up,CSF1,down,GMEB2,down,MGST1,down,RAB30,down,TRAF3IP2,down
ARMC1,up,DHX15,up,GSDMD,up,LST1,up,PITPNC1,up,SLU7,up,USF2,up,CSH1,down,GNA11,down,MICA,down,RAB6C,down,TRAIP,down
ASXL2,up,DIAPH1,up,GSPT1,up,LTB,up,PITPNM1,up,SMAD7,up,USP16,up,CSNK1D,down,GNAO1,down,MIER3,down,RABEP2,down,TRAK2,down
BBX,up,DIP2B,up,GSTK1,up,LY6E,up,PJA2,up,SMAP2,up,USP3,up,CSNK2A1,down,GNAT3,down,MIR197,down,RABGGTA,down,TRHR,down
BLZF1,up,DLD,up,GSTP1,up,LYAR,up,PLAC8,up,SMARCC1,up,USP49,up,CST1,down,GNB1L,down,MIR1976,down,RAC1,down,TRIM43,down
C1QBP,up,DMC1,up,GTF2A2,up,LYN,up,PLCB2,up,SMCR5,up,USP5,up,CST4,down,GNG12,down,MIRLET7I,down,RAD18,down,TRMT11,down
C5AR1,up,DNAJB1,up,GTF2F1,up,LYSMD2,up,PLCL2,up,SMNDC1,up,USPL1,up,CST9,down,GNG3,down,MKI67,down,RAET1L,down,TRPV1,down
CALM2,up,DNAJB11,up,GTF3A,up,LYZ,up,PLEK,up,SNCA,up,VAMP8,up,CTCFL,down,GNL3,down,MMACHC,down,RALGPS2,down,TSG1,down
CALM3,up,DNAJB14,up,GYG1,up,LZTR1,up,PLEKHA1,up,SND1,up,VCAN,up,CTF1,down,GNMT,down,MMEL1,down,RAMP3,down,TSPAN16,down
CALR,up,DNAJB9,up,GYPC,up,MAD2L2,up,PLEKHG3,up,SNHG9,up,VCPIP1,up,CTH,down,GNRHR,down,MMRN2,down,RAPGEF5,down,TSPAN9,down
CAMK2N1,up,DNAJC7,up,GZMK,up,MAFB,up,PLEKHM2,up,SNN,up,VDAC1,up,CTRB2,down,GOLGA7B,down,MND1,down,RAPSN,down,TTBK2,down
CAMLG,up,DNAJC9,up,HAT1,up,MAL,up,PLEKHO1,up,SNORD36C,up,VDAC3,up,CTSE,down,GPHB5,down,MNS1,down,RARRES2,down,TTC29,down
CANX,up,DNASE2,up,HBA2,up,MAP1LC3B,up,PLIN2,up,SNORD89,up,VHL,up,CTXN3,down,GPM6A,down,MNX1,down,RASAL2,down,TTC36,down
CAP1,up,DNMT1,up,HBB,up,MAP3K1,up,PLIN5,up,SNRK,up,VIM,up,CUX1,down,GPR52,down,MORF4,down,RASGRF2,down,TUB,down
CAPN1,up,DOCK10,up,HBEGF,up,MAP3K8,up,PLRG1,up,SNRNP70,up,VPS29,up,CUZD1,down,GPR63,down,MREG,down,RASL12,down,TUBAL3,down
CAPNS1,up,DOCK2,up,HBG1,up,MAP4K2,up,PLSCR3,up,SNRPD2,up,VTI1B,up,CXCL12,down,GPRIN2,down,MRI1,down,RASSF10,down,TUBB2B,down
CAPZA1,up,DOCK8,up,HBP1,up,MAPK3,up,PMAIP1,up,SNTB2,up,WAC,up,CXCL9,down,GPSM1,down,MRPS14,down,RASSF4,down,TUFT1,down
CASP1,up,DOK2,up,HCG4,up,MAPRE2,up,PMPCB,up,SNX10,up,WASF2,up,CYB5D2,down,GPT,down,MRPS5,down,RASSF6,down,TUSC3,down
CATSPER2,up,DPM1,up,HCK,up,MARCKSL1,up,PNKP,up,SNX17,up,WBP11,up,CYB5RL,down,GPX2,down,MS4A5,down,RBL1,down,TXLNB,down
CBL,up,DPYD,up,HCLS1,up,MATR3,up,PNN,up,SNX2,up,WBP2,up,CYP19A1,down,GRB10,down,MS4A6E,down,RBM20,down,TXNDC16,down
CBLL1,up,DPYSL2,up,HCP5,up,MBD4,up,PNPLA2,up,SOD2,up,WDFY1,up,CYP26A1,down,GRHL2,down,MSH2,down,RBM24,down,TXNDC9,down
CBX6,up,DR1,up,HCST,up,MBNL1,up,PNPT1,up,SON,up,WDR1,up,CYS1,down,GRM7,down,MSH5,down,RBM4B,down,UAP1L1,down
CBX7,up,DRAP1,up,HDAC1,up,MBP,up,PNRC2,up,SORL1,up,WDR26,up,CYYR1,down,GRP,down,MSMP,down,RBMS3,down,UBA5,down
CCBE1,up,DRG1,up,HDAC3,up,MBTPS1,up,POGK,up,SP1,up,WDR37,up,DACT1,down,GSTA5,down,MST1R,down,RBPMS2,down,UBASH3B,down
CCDC12,up,DSTN,up,HDGF,up,MCL1,up,POLE3,up,SP4,up,WDR48,up,DAND5,down,GSTM4,down,MSX2,down,RCC1,down,UBE2D2,down
